Energy (MeV)	mu/rho (cm^2/g)	mu_en/rho (cm^2/g)
0.001	4813.0	4805.0
0.00103542	4444.0	4436.0
0.0010721	4101.0	4093.0
0.0015	1860.0	1854.0
0.0015499	1720.0	1714.0
0.00157278	2688.0	2664.0
0.001596	2554.0	2531.0
0.00168644	2743.0	2714.0
0.001782	2381.0	2356.0
0.002	1937.0	1917.0
0.002472	1143.0	1131.0
0.003	701.7	693.3
0.0033511	527.9	521.0
0.00343632	890.5	863.3
0.0035237	834.8	810.5
0.00366203	939.3	907.6
0.0038058	853.4	825.2
0.004	834.2	806.2
0.0045571	597.1	578.3
0.00470229	551.6	534.3
0.0048521	508.3	492.5
0.005	470.8	456.2
0.0051881	427.7	414.6
0.006	292.6	283.8
0.008	136.4	132.0
0.01	74.94	72.05
0.0134737	33.46	31.68
0.015	58.43	40.4
0.02	27.29	20.42
0.025514	14.17	11.05
0.03	23.6	12.56
0.0331694	18.09	10.3
0.04	11.02	6.91
0.05	6.042	4.103
0.06	3.693	2.61
0.08	1.717	1.238
0.1	0.971	0.6839
0.15	0.386	0.2355
0.2	0.2294	0.1183
0.3	0.1359	0.05609
0.4	0.1053	0.04043
0.5	0.08992	0.03449
0.6	0.08027	0.03153
0.8	0.06806	0.02842
1.0	0.06019	0.02655
1.25	0.05335	0.02481
1.5	0.04863	0.02352
2.0	0.0427	0.02192
3.0	0.037	0.02077
4.0	0.03455	0.02072
5.0	0.03344	0.02106
6.0	0.03298	0.02153
8.0	0.03306	0.02259
10.0	0.03372	0.02358
15.0	0.03592	0.02536
20.0	0.03804	0.02634
